"GEO_ID","NAME","B25064_001E","B25064_001M"
"0500000US01085","Lowndes County, Alabama","586","139"
"0500000US01087","Macon County, Alabama","641","38"
"0500000US01089","Madison County, Alabama","857","13"
"0500000US01091","Marengo County, Alabama","563","51"
"0500000US01093","Marion County, Alabama","512","38"
"0500000US01095","Marshall County, Alabama","649","16"
"0500000US01097","Mobile County, Alabama","853","12"
"0500000US01099","Monroe County, Alabama","582","117"
"0500000US01101","Montgomery County, Alabama","884","12"
"0500000US01103","Morgan County, Alabama","658","22"
"0500000US01105","Perry County, Alabama","507","197"
"0500000US01107","Pickens County, Alabama","457","80"
"0500000US01109","Pike County, Alabama","669","56"
"0500000US01111","Randolph County, Alabama","620","49"
"0500000US01113","Russell County, Alabama","803","27"
"0500000US01115","St. Clair County, Alabama","819","34"
"0500000US01117","Shelby County, Alabama","1047","26"
"0500000US01119","Sumter County, Alabama","518","125"
"0500000US01121","Talladega County, Alabama","628","30"
"0500000US01123","Tallapoosa County, Alabama","665","43"
"0500000US01125","Tuscaloosa County, Alabama","846","16"
"0500000US01127","Walker County, Alabama","626","26"
"0500000US01129","Washington County, Alabama","730","40"
"0500000US01131","Wilcox County, Alabama","509","89"
"0500000US01133","Winston County, Alabama","529","29"
"0500000US02013","Aleutians East Borough, Alaska","939","70"
"0500000US02016","Aleutians West Census Area, Alaska","1341","78"
"0500000US02020","Anchorage Municipality, Alaska","1320","25"
"0500000US02050","Bethel Census Area, Alaska","1352","93"
"0500000US02060","Bristol Bay Borough, Alaska","1120","134"
"0500000US02068","Denali Borough, Alaska","845","183"
"0500000US02070","Dillingham Census Area, Alaska","1020","120"
"0500000US02090","Fairbanks North Star Borough, Alaska","1305","43"
"0500000US02100","Haines Borough, Alaska","951","227"
"0500000US02105","Hoonah-Angoon Census Area, Alaska","894","101"
"0500000US02110","Juneau City and Borough, Alaska","1310","58"
"0500000US02122","Kenai Peninsula Borough, Alaska","987","31"
"0500000US02130","Ketchikan Gateway Borough, Alaska","1169","43"
"0500000US02150","Kodiak Island Borough, Alaska","1458","129"
"0500000US02158","Kusilvak Census Area, Alaska","632","108"
"0500000US02164","Lake and Peninsula Borough, Alaska","743","76"
"0500000US02170","Matanuska-Susitna Borough, Alaska","1127","18"
"0500000US02180","Nome Census Area, Alaska","1287","72"
"0500000US02185","North Slope Borough, Alaska","1000","109"
"0500000US02188","Northwest Arctic Borough, Alaska","1304","89"
"0500000US02195","Petersburg Borough, Alaska","954","55"
"0500000US02198","Prince of Wales-Hyder Census Area, Alaska","783","66"
"0500000US02220","Sitka City and Borough, Alaska","1131","56"
"0500000US02230","Skagway Municipality, Alaska","1004","121"
"0500000US02240","Southeast Fairbanks Census Area, Alaska","1042","94"
"0500000US02261","Valdez-Cordova Census Area, Alaska","1067","95"
"0500000US02275","Wrangell City and Borough, Alaska","844","34"
"0500000US02282","Yakutat City and Borough, Alaska","900","110"
"0500000US02290","Yukon-Koyukuk Census Area, Alaska","741","61"
"0500000US04001","Apache County, Arizona","506","30"
"0500000US04003","Cochise County, Arizona","783","27"
"0500000US04005","Coconino County, Arizona","1181","30"
"0500000US04007","Gila County, Arizona","816","44"
"0500000US04009","Graham County, Arizona","769","70"
"0500000US04011","Greenlee County, Arizona","466","29"
"0500000US04012","La Paz County, Arizona","565","104"
"0500000US04013","Maricopa County, Arizona","1127","4"
"0500000US04015","Mohave County, Arizona","826","17"
"0500000US04017","Navajo County, Arizona","720","28"
"0500000US04019","Pima County, Arizona","907","12"
"0500000US04021","Pinal County, Arizona","1064","20"
"0500000US04023","Santa Cruz County, Arizona","675","25"
"0500000US04025","Yavapai County, Arizona","947","29"
"0500000US04027","Yuma County, Arizona","839","28"
"0500000US05001","Arkansas County, Arkansas","648","31"
"0500000US05003","Ashley County, Arkansas","533","44"
"0500000US05005","Baxter County, Arkansas","703","28"
"0500000US05007","Benton County, Arkansas","903","17"
"0500000US05009","Boone County, Arkansas","636","20"
"0500000US05011","Bradley County, Arkansas","585","44"
"0500000US05013","Calhoun County, Arkansas","640","77"
"0500000US05015","Carroll County, Arkansas","610","37"
"0500000US05017","Chicot County, Arkansas","601","57"
"0500000US05019","Clark County, Arkansas","606","25"
"0500000US05021","Clay County, Arkansas","618","28"
"0500000US05023","Cleburne County, Arkansas","704","40"
"0500000US05025","Cleveland County, Arkansas","630","22"
"0500000US05027","Columbia County, Arkansas","664","41"
"0500000US05029","Conway County, Arkansas","647","62"
"0500000US05031","Craighead County, Arkansas","757","16"
"0500000US05033","Crawford County, Arkansas","701","22"
"0500000US05035","Crittenden County, Arkansas","732","17"
"0500000US05037","Cross County, Arkansas","711","40"
"0500000US05039","Dallas County, Arkansas","673","122"
"0500000US05041","Desha County, Arkansas","495","60"
"0500000US05043","Drew County, Arkansas","658","60"
"0500000US05045","Faulkner County, Arkansas","826","15"
"0500000US05047","Franklin County, Arkansas","625","26"
"0500000US05049","Fulton County, Arkansas","545","73"
"0500000US05051","Garland County, Arkansas","771","22"
"0500000US05053","Grant County, Arkansas","736","45"
"0500000US05055","Greene County, Arkansas","698","27"
"0500000US05057","Hempstead County, Arkansas","694","28"
"0500000US05059","Hot Spring County, Arkansas","619","64"
"0500000US05061","Howard County, Arkansas","601","65"
"0500000US05063","Independence County, Arkansas","631","32"
"0500000US05065","Izard County, Arkansas","570","58"
"0500000US05067","Jackson County, Arkansas","588","36"
"0500000US05069","Jefferson County, Arkansas","740","17"
"0500000US05071","Johnson County, Arkansas","620","20"
"0500000US05073","Lafayette County, Arkansas","473","82"
"0500000US05075","Lawrence County, Arkansas","549","30"
"0500000US05077","Lee County, Arkansas","525","53"
"0500000US05079","Lincoln County, Arkansas","534","79"
"0500000US05081","Little River County, Arkansas","601","61"
"0500000US05083","Logan County, Arkansas","581","23"
"0500000US05085","Lonoke County, Arkansas","796","26"
"0500000US05087","Madison County, Arkansas","615","37"
"0500000US05089","Marion County, Arkansas","632","49"
"0500000US05091","Miller County, Arkansas","737","22"
"0500000US05093","Mississippi County, Arkansas","632","23"
"0500000US05095","Monroe County, Arkansas","517","34"
"0500000US05097","Montgomery County, Arkansas","509","117"
"0500000US05099","Nevada County, Arkansas","696","83"
"0500000US05101","Newton County, Arkansas","547","73"
"0500000US05103","Ouachita County, Arkansas","525","27"
"0500000US05105","Perry County, Arkansas","631","35"
"0500000US05107","Phillips County, Arkansas","586","18"
"0500000US05109","Pike County, Arkansas","601","55"
"0500000US05111","Poinsett County, Arkansas","603","39"
"0500000US05113","Polk County, Arkansas","639","40"
"0500000US05115","Pope County, Arkansas","681","29"
"0500000US05117","Prairie County, Arkansas","619","57"
"0500000US05119","Pulaski County, Arkansas","861","11"
"0500000US05121","Randolph County, Arkansas","619","25"
"0500000US05123","St. Francis County, Arkansas","633","30"
"0500000US05125","Saline County, Arkansas","847","29"
"0500000US05127","Scott County, Arkansas","564","56"
"0500000US05129","Searcy County, Arkansas","535","36"
"0500000US05131","Sebastian County, Arkansas","696","17"
"0500000US05133","Sevier County, Arkansas","581","53"
"0500000US05135","Sharp County, Arkansas","527","24"
"0500000US05137","Stone County, Arkansas","604","57"
"0500000US05139","Union County, Arkansas","674","32"
"0500000US05141","Van Buren County, Arkansas","644","75"
"0500000US05143","Washington County, Arkansas","794","14"
"0500000US05145","White County, Arkansas","702","20"
"0500000US05147","Woodruff County, Arkansas","504","61"
"0500000US05149","Yell County, Arkansas","573","53"
"0500000US06001","Alameda County, California","1797","12"
"0500000US06003","Alpine County, California","538","166"
"0500000US06005","Amador County, California","1103","44"
"0500000US06007","Butte County, California","1060","20"
"0500000US06009","Calaveras County, California","1339","65"
"0500000US06011","Colusa County, California","889","52"
"0500000US06013","Contra Costa County, California","1819","14"
"0500000US06015","Del Norte County, California","878","51"
"0500000US06017","El Dorado County, California","1260","39"
"0500000US06019","Fresno County, California","998","10"
"0500000US06021","Glenn County, California","835","42"
"0500000US06023","Humboldt County, California","981","20"
"0500000US06025","Imperial County, California","830","28"
"0500000US06027","Inyo County, California","919","71"
"0500000US06029","Kern County, California","978","11"
"0500000US06031","Kings County, California","990","24"
"0500000US06033","Lake County, California","978","64"
"0500000US06035","Lassen County, California","956","50"
"0500000US06037","Los Angeles County, California","1460","4"
"0500000US06039","Madera County, California","1014","36"
"0500000US06041","Marin County, California","2069","38"
"0500000US06043","Mariposa County, California","929","68"
"0500000US06045","Mendocino County, California","1146","34"
"0500000US06047","Merced County, California","1021","20"
"0500000US06049","Modoc County, California","717","40"
"0500000US06051","Mono County, California","1206","126"
"0500000US06053","Monterey County, California","1495","20"
"0500000US06055","Napa County, California","1700","37"
"0500000US06057","Nevada County, California","1273","69"
"0500000US06059","Orange County, California","1854","7"
"0500000US06061","Placer County, California","1542","26"
"0500000US06063","Plumas County, California","916","49"
"0500000US06065","Riverside County, California","1375","11"
"0500000US06067","Sacramento County, California","1252","10"
"0500000US06069","San Benito County, California","1535","84"
"0500000US06071","San Bernardino County, California","1283","11"
"0500000US06073","San Diego County, California","1658","9"
"0500000US06075","San Francisco County, California","1895","23"
"0500000US06077","San Joaquin County, California","1208","14"
"0500000US06079","San Luis Obispo County, California","1476","32"
"0500000US06081","San Mateo County, California","2316","23"
"0500000US06083","Santa Barbara County, California","1643","21"
"0500000US06085","Santa Clara County, California","2268","12"
"0500000US06087","Santa Cruz County, California","1717","35"
"0500000US06089","Shasta County, California","1039","26"
"0500000US06091","Sierra County, California","972","137"
"0500000US06093","Siskiyou County, California","856","29"
"0500000US06095","Solano County, California","1592","23"
"0500000US06097","Sonoma County, California","1621","20"
"0500000US06099","Stanislaus County, California","1155","14"
"0500000US06101","Sutter County, California","1033","37"
"0500000US06103","Tehama County, California","872","32"
"0500000US06105","Trinity County, California","799","66"
"0500000US06107","Tulare County, California","942","17"
"0500000US06109","Tuolumne County, California","1009","63"
"0500000US06111","Ventura County, California","1776","17"
"0500000US06113","Yolo County, California","1324","22"
"0500000US06115","Yuba County, California","1002","42"
"0500000US08001","Adams County, Colorado","1346","15"
"0500000US08003","Alamosa County, Colorado","700","65"
"0500000US08005","Arapahoe County, Colorado","1390","12"
"0500000US08007","Archuleta County, Colorado","961","50"
"0500000US08009","Baca County, Colorado","443","81"
"0500000US08011","Bent County, Colorado","643","44"
"0500000US08013","Boulder County, Colorado","1495","22"
"0500000US08014","Broomfield County, Colorado","1679","26"
"0500000US08015","Chaffee County, Colorado","931","81"
"0500000US08017","Cheyenne County, Colorado","525","180"
"0500000US08019","Clear Creek County, Colorado","938","75"
"0500000US08021","Conejos County, Colorado","543","48"
"0500000US08023","Costilla County, Colorado","532","125"
"0500000US08025","Crowley County, Colorado","914","205"
"0500000US08027","Custer County, Colorado","620","70"
"0500000US08029","Delta County, Colorado","834","33"
"0500000US08031","Denver County, Colorado","1311","13"
"0500000US08033","Dolores County, Colorado","817","84"
"0500000US08035","Douglas County, Colorado","1725","24"
"0500000US08037","Eagle County, Colorado","1594","73"
"0500000US08039","Elbert County, Colorado","1182","136"
"0500000US08041","El Paso County, Colorado","1174","12"
"0500000US08043","Fremont County, Colorado","838","43"
"0500000US08045","Garfield County, Colorado","1201","41"
"0500000US08047","Gilpin County, Colorado","1159","71"
"0500000US08049","Grand County, Colorado","1047","70"
"0500000US08051","Gunnison County, Colorado","992","121"
"0500000US08053","Hinsdale County, Colorado","756","61"
"0500000US08055","Huerfano County, Colorado","626","23"
"0500000US08057","Jackson County, Colorado","625","129"
"0500000US08059","Jefferson County, Colorado","1376","16"
"0500000US08061","Kiowa County, Colorado","750","89"
"0500000US08063","Kit Carson County, Colorado","736","34"
"0500000US08065","Lake County, Colorado","982","283"
"0500000US08067","La Plata County, Colorado","1147","52"
"0500000US08069","Larimer County, Colorado","1297","24"
"0500000US08071","Las Animas County, Colorado","712","39"
"0500000US08073","Lincoln County, Colorado","780","47"
"0500000US08075","Logan County, Colorado","786","62"
"0500000US08077","Mesa County, Colorado","963","31"
"0500000US08079","Mineral County, Colorado","720","86"
"0500000US08081","Moffat County, Colorado","779","46"
"0500000US08083","Montezuma County, Colorado","815","88"
"0500000US08085","Montrose County, Colorado","901","65"
"0500000US08087","Morgan County, Colorado","835","39"
"0500000US08089","Otero County, Colorado","675","72"
"0500000US08091","Ouray County, Colorado","1223","147"
"0500000US08093","Park County, Colorado","1125","120"
"0500000US08095","Phillips County, Colorado","751","119"
"0500000US08097","Pitkin County, Colorado","1473","165"
"0500000US08099","Prowers County, Colorado","697","47"
"0500000US08101","Pueblo County, Colorado","829","16"
"0500000US08103","Rio Blanco County, Colorado","770","75"
"0500000US08105","Rio Grande County, Colorado","634","82"
"0500000US08107","Routt County, Colorado","1282","95"
"0500000US08109","Saguache County, Colorado","631","26"
"0500000US08111","San Juan County, Colorado","1019","98"
"0500000US08113","San Miguel County, Colorado","1140","75"
"0500000US08115","Sedgwick County, Colorado","556","32"
"0500000US08117","Summit County, Colorado","1393","68"
"0500000US08119","Teller County, Colorado","1102","86"
"0500000US08121","Washington County, Colorado","734","36"
"0500000US08123","Weld County, Colorado","1085","27"
"0500000US08125","Yuma County, Colorado","823","56"
"0500000US09001","Fairfield County, Connecticut","1499","19"
"0500000US09003","Hartford County, Connecticut","1106","8"
"0500000US09005","Litchfield County, Connecticut","1065","23"
"0500000US09007","Middlesex County, Connecticut","1162","24"
"0500000US09009","New Haven County, Connecticut","1153","9"
"0500000US09011","New London County, Connecticut","1130","16"
"0500000US09013","Tolland County, Connecticut","1155","29"
"0500000US09015","Windham County, Connecticut","946","29"
"0500000US10001","Kent County, Delaware","1084","26"
"0500000US10003","New Castle County, Delaware","1163","10"
"0500000US10005","Sussex County, Delaware","1030","32"
"0500000US11001","District of Columbia, District of Columbia","1541","19"
"0500000US12001","Alachua County, Florida","983","16"
"0500000US12003","Baker County, Florida","782","97"
"0500000US12005","Bay County, Florida","1049","24"
"0500000US12007","Bradford County, Florida","833","51"
"0500000US12009","Brevard County, Florida","1068","15"
"0500000US12011","Broward County, Florida","1392","9"
"0500000US12013","Calhoun County, Florida","596","63"
"0500000US12015","Charlotte County, Florida","1032","31"
"0500000US12017","Citrus County, Florida","843","22"
"0500000US12019","Clay County, Florida","1148","26"
"0500000US12021","Collier County, Florida","1317","23"
"0500000US12023","Columbia County, Florida","829","26"
"0500000US12027","DeSoto County, Florida","687","51"
"0500000US12029","Dixie County, Florida","631","108"
"0500000US12031","Duval County, Florida","1074","8"
"0500000US12033","Escambia County, Florida","983","15"
"0500000US12035","Flagler County, Florida","1255","39"
"0500000US12037","Franklin County, Florida","802","105"
"0500000US12039","Gadsden County, Florida","678","31"
"0500000US12041","Gilchrist County, Florida","645","82"
"0500000US12043","Glades County, Florida","781","43"
"0500000US12045","Gulf County, Florida","1037","118"
"0500000US12047","Hamilton County, Florida","604","65"
"0500000US12049","Hardee County, Florida","740","43"
"0500000US12051","Hendry County, Florida","786","55"
"0500000US12053","Hernando County, Florida","984","21"
"0500000US12055","Highlands County, Florida","816","20"
"0500000US12057","Hillsborough County, Florida","1142","7"
"0500000US12059","Holmes County, Florida","703","43"
"0500000US12061","Indian River County, Florida","959","18"
"0500000US12063","Jackson County, Florida","656","33"
"0500000US12065","Jefferson County, Florida","770","113"
"0500000US12067","Lafayette County, Florida","532","220"
"0500000US12069","Lake County, Florida","1084","19"
"0500000US12071","Lee County, Florida","1154","9"
"0500000US12073","Leon County, Florida","1024","15"
"0500000US12075","Levy County, Florida","720","43"
"0500000US12077","Liberty County, Florida","595","101"
"0500000US12079","Madison County, Florida","689","45"
"0500000US12081","Manatee County, Florida","1144","18"
"0500000US12083","Marion County, Florida","896","18"
"0500000US12085","Martin County, Florida","1111","28"
"0500000US12086","Miami-Dade County, Florida","1328","9"
"0500000US12087","Monroe County, Florida","1627","50"
"0500000US12089","Nassau County, Florida","1046","64"
"0500000US12091","Okaloosa County, Florida","1127","18"
"0500000US12093","Okeechobee County, Florida","772","47"
"0500000US12095","Orange County, Florida","1215","8"
"0500000US12097","Osceola County, Florida","1228","18"
"0500000US12099","Palm Beach County, Florida","1398","9"
"0500000US12101","Pasco County, Florida","1062","12"
"0500000US12103","Pinellas County, Florida","1112","9"
"0500000US12105","Polk County, Florida","978","12"
"0500000US12107","Putnam County, Florida","728","22"
"0500000US12109","St. Johns County, Florida","1312","46"
"0500000US12111","St. Lucie County, Florida","1185","31"
"0500000US12113","Santa Rosa County, Florida","1129","37"
"0500000US12115","Sarasota County, Florida","1277","24"
"0500000US12117","Seminole County, Florida","1242","15"
"0500000US12119","Sumter County, Florida","914","57"
"0500000US12121","Suwannee County, Florida","722","27"
"0500000US12123","Taylor County, Florida","666","91"
"0500000US12125","Union County, Florida","657","46"
"0500000US12127","Volusia County, Florida","1046","15"
"0500000US12129","Wakulla County, Florida","896","41"
"0500000US12131","Walton County, Florida","979","75"
"0500000US12133","Washington County, Florida","717","68"
"0500000US13001","Appling County, Georgia","560","116"
"0500000US13003","Atkinson County, Georgia","454","113"
"0500000US13005","Bacon County, Georgia","526","41"
"0500000US13007","Baker County, Georgia","513","62"
"0500000US13009","Baldwin County, Georgia","703","24"
"0500000US13011","Banks County, Georgia","731","37"
"0500000US13013","Barrow County, Georgia","994","39"
"0500000US13015","Bartow County, Georgia","937","23"
"0500000US13017","Ben Hill County, Georgia","656","37"
"0500000US13019","Berrien County, Georgia","653","38"
"0500000US13021","Bibb County, Georgia","818","20"
"0500000US13023","Bleckley County, Georgia","620","31"
"0500000US13025","Brantley County, Georgia","622","36"
"0500000US13027","Brooks County, Georgia","685","64"
"0500000US13029","Bryan County, Georgia","1242","161"
"0500000US13031","Bulloch County, Georgia","805","29"
"0500000US13033","Burke County, Georgia","616","67"
"0500000US13035","Butts County, Georgia","850","76"
"0500000US13037","Calhoun County, Georgia","543","148"
"0500000US13039","Camden County, Georgia","945","41"
"0500000US13043","Candler County, Georgia","597","53"
"0500000US13045","Carroll County, Georgia","877","24"
"0500000US13047","Catoosa County, Georgia","775","34"
"0500000US13049","Charlton County, Georgia","557","77"
"0500000US13051","Chatham County, Georgia","1085","13"
"0500000US13053","Chattahoochee County, Georgia","1192","73"
"0500000US13055","Chattooga County, Georgia","608","46"
"0500000US13057","Cherokee County, Georgia","1241","39"
"0500000US13059","Clarke County, Georgia","856","16"
"0500000US13061","Clay County, Georgia","340","39"
"0500000US13063","Clayton County, Georgia","991","13"
"0500000US13065","Clinch County, Georgia","439","135"
"0500000US13067","Cobb County, Georgia","1202","9"
"0500000US13069","Coffee County, Georgia","623","27"
"0500000US13071","Colquitt County, Georgia","647","40"
"0500000US13073","Columbia County, Georgia","1149","35"
"0500000US13075","Cook County, Georgia","737","35"
"0500000US13077","Coweta County, Georgia","1096","33"
"0500000US13079","Crawford County, Georgia","709","54"
"0500000US13081","Crisp County, Georgia","649","80"
"0500000US13083","Dade County, Georgia","724","54"
"0500000US13085","Dawson County, Georgia","918","60"
"0500000US13087","Decatur County, Georgia","677","15"
"0500000US13089","DeKalb County, Georgia","1169","8"
"0500000US13091","Dodge County, Georgia","620","22"
"0500000US13093","Dooly County, Georgia","543","78"
"0500000US13095","Dougherty County, Georgia","746","17"
"0500000US13097","Douglas County, Georgia","1087","26"
"0500000US13099","Early County, Georgia","709","61"
"0500000US13101","Echols County, Georgia","669","27"
"0500000US13103","Effingham County, Georgia","1023","50"
"0500000US13105","Elbert County, Georgia","685","60"
"0500000US13107","Emanuel County, Georgia","619","21"
"0500000US13109","Evans County, Georgia","662","42"
"0500000US13111","Fannin County, Georgia","794","105"
"0500000US13113","Fayette County, Georgia","1326","32"
"0500000US13115","Floyd County, Georgia","762","17"
"0500000US13117","Forsyth County, Georgia","1380","35"
"0500000US13119","Franklin County, Georgia","627","46"
"0500000US13121","Fulton County, Georgia","1205","10"
"0500000US13123","Gilmer County, Georgia","765","45"
"0500000US13125","Glascock County, Georgia","625","52"
"0500000US13127","Glynn County, Georgia","890","37"
"0500000US13129","Gordon County, Georgia","731","27"
"0500000US13131","Grady County, Georgia","778","30"
"0500000US13133","Greene County, Georgia","727","25"
"0500000US13135","Gwinnett County, Georgia","1272","16"
"0500000US13137","Habersham County, Georgia","772","43"
"0500000US13139","Hall County, Georgia","963","21"
"0500000US13141","Hancock County, Georgia","678","196"
"0500000US13143","Haralson County, Georgia","677","27"
"0500000US13145","Harris County, Georgia","863","64"
"0500000US13147","Hart County, Georgia","720","25"
"0500000US13149","Heard County, Georgia","630","39"
"0500000US13151","Henry County, Georgia","1181","22"
"0500000US13153","Houston County, Georgia","920","29"
"0500000US13155","Irwin County, Georgia","559","76"
"0500000US13157","Jackson County, Georgia","823","45"
"0500000US13159","Jasper County, Georgia","848","112"
"0500000US13161","Jeff Davis County, Georgia","584","64"
"0500000US13163","Jefferson County, Georgia","561","48"
"0500000US13165","Jenkins County, Georgia","548","93"
"0500000US13167","Johnson County, Georgia","533","28"
"0500000US13169","Jones County, Georgia","775","33"
"0500000US13171","Lamar County, Georgia","706","58"
"0500000US13173","Lanier County, Georgia","712","104"
"0500000US13175","Laurens County, Georgia","615","23"
"0500000US13177","Lee County, Georgia","881","58"
"0500000US13179","Liberty County, Georgia","1067","25"
"0500000US13181","Lincoln County, Georgia","708","57"
"0500000US13183","Long County, Georgia","799","89"
"0500000US13185","Lowndes County, Georgia","802","18"
"0500000US13187","Lumpkin County, Georgia","891","50"
"0500000US13189","McDuffie County, Georgia","695","36"
"0500000US13191","McIntosh County, Georgia","813","132"
"0500000US13193","Macon County, Georgia","592","36"
"0500000US13195","Madison County, Georgia","715","53"
"0500000US13197","Marion County, Georgia","536","90"
"0500000US13199","Meriwether County, Georgia","714","78"
"0500000US13201","Miller County, Georgia","652","119"
"0500000US13205","Mitchell County, Georgia","637","52"
"0500000US13207","Monroe County, Georgia","704","61"
"0500000US13209","Montgomery County, Georgia","627","44"
"0500000US13211","Morgan County, Georgia","832","47"
"0500000US13213","Murray County, Georgia","688","24"
"0500000US13215","Muscogee County, Georgia","906","14"
"0500000US13217","Newton County, Georgia","1010","42"
"0500000US13219","Oconee County, Georgia","1001","81"
"0500000US13221","Oglethorpe County, Georgia","725","97"
"0500000US13223","Paulding County, Georgia","1163","31"
"0500000US13225","Peach County, Georgia","698","50"
"0500000US13227","Pickens County, Georgia","856","77"
"0500000US13229","Pierce County, Georgia","669","45"
"0500000US13231","Pike County, Georgia","828","65"
"0500000US13233","Polk County, Georgia","718","26"
"0500000US13235","Pulaski County, Georgia","722","71"
"0500000US13237","Putnam County, Georgia","788","82"
"0500000US13239","Quitman County, Georgia","709","105"
"0500000US13241","Rabun County, Georgia","738","68"
"0500000US13243","Randolph County, Georgia","583","76"
"0500000US13245","Richmond County, Georgia","888","16"
"0500000US13247","Rockdale County, Georgia","1056","29"
"0500000US13249","Schley County, Georgia","626","36"
"0500000US13251","Screven County, Georgia","663","60"
"0500000US13253","Seminole County, Georgia","721","30"
"0500000US13255","Spalding County, Georgia","872","31"
"0500000US13257","Stephens County, Georgia","750","61"
"0500000US13259","Stewart County, Georgia","529","50"
"0500000US13261","Sumter County, Georgia","736","28"
"0500000US13263","Talbot County, Georgia","652","141"
"0500000US13265","Taliaferro County, Georgia","547","83"
"0500000US13267","Tattnall County, Georgia","543","40"
"0500000US13269","Taylor County, Georgia","619","57"
"0500000US13271","Telfair County, Georgia","599","47"
"0500000US13273","Terrell County, Georgia","638","27"
"0500000US13275","Thomas County, Georgia","861","37"
"0500000US13277","Tift County, Georgia","689","41"
"0500000US13279","Toombs County, Georgia","598","37"
"0500000US13281","Towns County, Georgia","717","83"
"0500000US13283","Treutlen County, Georgia","585","83"
"0500000US13285","Troup County, Georgia","823","24"
"0500000US13287","Turner County, Georgia","538","29"
"0500000US13289","Twiggs County, Georgia","613","102"
"0500000US13291","Union County, Georgia","780","71"
"0500000US13293","Upson County, Georgia","639","29"
"0500000US13295","Walker County, Georgia","753","23"
"0500000US13297","Walton County, Georgia","1000","34"
"0500000US13299","Ware County, Georgia","658","36"
"0500000US13301","Warren County, Georgia","631","61"
"0500000US13303","Washington County, Georgia","646","34"
"0500000US13305","Wayne County, Georgia","655","42"
"0500000US13307","Webster County, Georgia","381","250"
"0500000US13309","Wheeler County, Georgia","450","82"
"0500000US13311","White County, Georgia","827","48"
"0500000US13313","Whitfield County, Georgia","720","16"
"0500000US13315","Wilcox County, Georgia","513","132"
"0500000US13317","Wilkes County, Georgia","762","52"
"0500000US13319","Wilkinson County, Georgia","635","44"
"0500000US13321","Worth County, Georgia","722","40"
"0500000US15001","Hawaii County, Hawaii","1180","32"
"0500000US15003","Honolulu County, Hawaii","1745","19"
"0500000US15005","Kalawao County, Hawaii","1063","434"
"0500000US15007","Kauai County, Hawaii","1375","57"
"0500000US15009","Maui County, Hawaii","1510","48"
"0500000US16001","Ada County, Idaho","995","15"
"0500000US16003","Adams County, Idaho","685","57"
"0500000US16005","Bannock County, Idaho","691","27"
"0500000US16007","Bear Lake County, Idaho","589","39"
"0500000US16009","Benewah County, Idaho","644","86"
"0500000US16011","Bingham County, Idaho","662","48"
"0500000US16013","Blaine County, Idaho","933","84"
"0500000US16015","Boise County, Idaho","754","53"
"0500000US16017","Bonner County, Idaho","853","48"
"0500000US16019","Bonneville County, Idaho","819","26"
"0500000US16021","Boundary County, Idaho","613","120"
"0500000US16023","Butte County, Idaho","656","95"
"0500000US16025","Camas County, Idaho","853","144"
"0500000US16027","Canyon County, Idaho","896","28"
"0500000US16029","Caribou County, Idaho","570","53"
"0500000US16031","Cassia County, Idaho","647","34"
"0500000US16033","Clark County, Idaho","592","267"
"0500000US16035","Clearwater County, Idaho","719","43"
"0500000US16037","Custer County, Idaho","608","145"
"0500000US16039","Elmore County, Idaho","833","31"
